date,Ananas,Banane,Carotte,Courgette,Lait,Letchi,Poivron,Pomme,Tomate
2015-07-27,0.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-29,0.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-31,0.0,-159.0,0.0,0.0,671.0,0.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,-512.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-02,0.0,0.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-06,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0
2015-08-09,0.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-10,0.0,-102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-11,0.0,0.0,-260.0,0.0,650.0,0.0,0.0,0.0,0.0
2015-08-12,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-13,0.0,627.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-14,0.0,0.0,0.0,0.0,602.0,0.0,0.0,0.0,0.0
2015-08-16,0.0,0.0,-320.0,0.0,-607.0,0.0,0.0,0.0,0.0
2015-08-17,0.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-18,0.0,0.0,0.0,0.0,906.0,0.0,0.0,0.0,0.0
2015-08-19,0.0,0.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-20,0.0,1129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-22,0.0,0.0,0.0,0.0,-405.0,0.0,0.0,0.0,0.0
2015-08-23,0.0,0.0,0.0,0.0,574.0,0.0,0.0,0.0,0.0
2015-08-24,0.0,380.0,44.0,0.0,-623.0,0.0,0.0,0.0,0.0
2015-08-25,0.0,-605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-27,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-30,0.0,0.0,-209.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-31,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,-327.0
2015-09-02,0.0,-399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-03,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-04,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,694.0
2015-09-06,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-08,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,27.0
2015-09-10,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-468.0
2015-09-12,0.0,-364.0,-638.0,0.0,0.0,0.0,0.0,0.0,222.0
2015-09-14,0.0,0.0,0.0,0.0,-483.0,0.0,0.0,0.0,0.0
2015-09-15,0.0,0.0,-280.0,0.0,0.0,0.0,0.0,0.0,-362.0
2015-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-481.0
2015-09-17,0.0,0.0,0.0,0.0,589.0,0.0,0.0,0.0,0.0
2015-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
2015-09-20,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0
2015-09-21,0.0,0.0,-474.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-22,0.0,0.0,575.0,0.0,-483.0,0.0,0.0,0.0,0.0
2015-09-23,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-24,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-25,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-26,0.0,536.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-27,0.0,0.0,-377.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-29,0.0,0.0,0.0,0.0,-519.0,0.0,0.0,0.0,0.0
2015-09-30,0.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,0.0
2015-10-01,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-02,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-03,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0
2015-10-05,0.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,-281.0
2015-10-06,0.0,0.0,0.0,0.0,578.0,0.0,606.0,0.0,0.0
2015-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-426.0
2015-10-08,0.0,0.0,0.0,0.0,-690.0,0.0,0.0,0.0,396.0
2015-10-10,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
2015-10-11,0.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,0.0
2015-10-12,0.0,0.0,0.0,0.0,0.0,0.0,597.0,0.0,50.0
2015-10-14,0.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0
2015-10-17,0.0,-326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-18,0.0,-348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0
2015-10-20,0.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-21,0.0,0.0,0.0,0.0,-584.0,0.0,236.0,0.0,-322.0
2015-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0
2015-10-23,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-24,0.0,-691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-25,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,0.0,0.0
2015-10-27,0.0,0.0,0.0,0.0,420.0,0.0,-21.0,0.0,0.0
2015-10-28,0.0,-539.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
2015-10-29,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-30,0.0,0.0,0.0,0.0,583.0,0.0,510.0,0.0,0.0
2015-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-218.0
2015-11-02,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0
2015-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-686.0
2015-11-04,0.0,0.0,0.0,0.0,0.0,0.0,-263.0,0.0,0.0
2015-11-05,0.0,0.0,0.0,0.0,427.0,893.0,0.0,0.0,0.0
2015-11-06,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0
2015-11-07,0.0,-313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-08,0.0,527.0,0.0,0.0,0.0,0.0,252.0,0.0,522.0
